2.048	-1.69744	-5.8889	3.36084
2.056	-1.76866	-5.81021	3.37146
2.064	-1.83657	-5.72886	3.38205
2.072	-1.90106	-5.645	3.39263
2.08	-1.96205	-5.55876	3.4032
2.088	-2.01946	-5.4703	3.41374
2.096	-2.07319	-5.37975	3.42427
2.104	-2.12318	-5.28728	3.43479
2.112	-2.16935	-5.19303	3.44528
2.12	-2.21166	-5.09716	3.45576
2.128	-2.25003	-4.99984	3.46622
2.136	-2.28443	-4.90122	3.47667
2.144	-2.31481	-4.80146	3.4871
2.152	-2.34113	-4.70072	3.49751
2.16	-2.36336	-4.59918	3.50791
2.168	-2.38149	-4.49699	3.51829
2.176	-2.3955	-4.39432	3.52865
2.184	-2.40537	-4.29134	3.53899
2.192	-2.41111	-4.18822	3.54932
2.2	-2.41272	-4.08511	3.55964
2.208	-2.4102	-3.98218	3.56993
2.216	-2.40358	-3.8796	3.58021
2.224	-2.39289	-3.77753	3.59048
2.232	-2.37814	-3.67614	3.60072
2.24	-2.35938	-3.57557	3.61095
2.248	-2.33665	-3.476	3.62117
2.256	-2.31	-3.37757	3.63137
2.264	-2.27949	-3.28044	3.64155
2.272	-2.24516	-3.18476	3.65171
2.28	-2.20711	-3.09068	3.66186
2.288	-2.16538	-2.99835	3.67199
2.296	-2.12007	-2.90791	3.68211
2.304	-2.07126	-2.81949	3.69221
2.312	-2.01903	-2.73323	3.7023
2.32	-1.96349	-2.64926	3.71236
2.328	-1.90472	-2.56771	3.72242
2.336	-1.84285	-2.48871	3.73245
2.344	-1.77796	-2.41236	3.74247
2.352	-1.71018	-2.33879	3.75248
2.36	-1.63963	-2.2681	3.76246
2.368	-1.56643	-2.20039	3.77244
2.376	-1.49069	-2.13577	3.78239
2.384	-1.41256	-2.07433	3.79233
2.392	-1.33216	-2.01616	3.80226
2.4	-1.24964	-1.96133	3.81217
2.408	-1.16512	-1.90994	3.82206
2.416	-1.07875	-1.86204	3.83194
2.424	-0.990677	-1.8177	3.8418
2.432	-0.901045	-1.77698	3.85164
2.44	-0.810002	-1.73995	3.86147
2.448	-0.717699	-1.70663	3.87129
2.456	-0.624287	-1.67708	3.88108
2.464	-0.529919	-1.65133	3.89087
2.472	-0.434749	-1.62941	3.90063
2.48	-0.338933	-1.61134	3.91038
2.488	-0.242624	-1.59715	3.92012
2.496	-0.14598	-1.58683	3.92984
2.504	-0.049155	-1.58039	3.93954
2.512	0.0476946	-1.57783	3.94923
2.52	0.144414	-1.57915	3.95891
2.528	0.240849	-1.58433	3.96856
2.536	0.336846	-1.59334	3.97821
2.544	0.432253	-1.60617	3.98783
2.552	0.52692	-1.62277	3.99745
2.56	0.620696	-1.64311	4.00704
2.568	0.713435	-1.66715	4.01662
2.576	0.804993	-1.69484	4.02619
2.584	0.895225	-1.72611	4.03574
2.592	0.983993	-1.76091	4.04527
2.6	1.07116	-1.79917	4.05479
2.608	1.15659	-1.84082	4.0643
2.616	1.24015	-1.88578	4.07379
2.624	1.32171	-1.93397	4.08326
2.632	1.40116	-1.9853	4.09272
2.64	1.47837	-2.03968	4.10217
2.648	1.55322	-2.09701	4.1116
2.656	1.6256	-2.15719	4.12101
2.664	1.69541	-2.22012	4.13041
2.672	1.76253	-2.28568	4.13979
2.68	1.82688	-2.35377	4.14916
2.688	1.88835	-2.42426	4.15851
2.696	1.94687	-2.49704	4.16785
2.704	2.00233	-2.57198	4.17718
2.712	2.05468	-2.64895	4.18649
2.72	2.10382	-2.72783	4.19578
